metabolomics_id	hmmf_panel	ms_type	compound	pubchem_id	value	value_ug_ml	value_mm	value_um
1000010.1	BileAcid	quant	12-oxochenodeoxycholic acid	94235	0.0	0.0	0.0	0.0
1000010.1	BileAcid	quant	3-oxocholic acid	5283956	0.0	0.0	0.0	0.0
1000010.1	BileAcid	quant	3-oxolithocholic acid	5283906	0.01667	0.01667	0.00004449	0.04449
1000010.1	BileAcid	quant	7-oxodeoxycholic acid	188292	0.0	0.0	0.0	0.0
1000010.1	BileAcid	quant	allocholic acid	160636	0.0	0.0	0.0	0.0
1000010.1	BileAcid	quant	alloisolithocholic acid	94228	0.0	0.0	0.0	0.0
1000010.1	BileAcid	quant	alpha-muricholic acid	5283852	0.0	0.0	0.0	0.0
1000010.1	BileAcid	quant	beta-muricholic acid	5283853	0.0	0.0	0.0	0.0
1000010.1	BileAcid	quant	chenodeoxycholic acid	10133	0.0	0.0	0.0	0.0
1000010.1	BileAcid	quant	cholic acid	221493	0.0	0.0	0.0	0.0
1000010.1	BileAcid	quant	deoxycholic acid	222528	0.0	0.0	0.0	0.0
1000010.1	BileAcid	quant	glycochenodeoxycholic acid	12544	62.66	62.66	0.13936833	139.36833
1000010.1	BileAcid	quant	glycocholic acid	10140	55.58667	55.58667	0.11938717	119.38717
1000010.1	BileAcid	quant	glycodeoxycholic acid	3035026	0.28	0.28	0.00062278	0.62278
1000010.1	BileAcid	quant	glycolithocholic acid	115245	0.0	0.0	0.0	0.0
1000010.1	BileAcid	quant	glycoursodeoxycholic acid	12310288	0.0	0.0	0.0	0.0
1000010.1	BileAcid	quant	isochenodeoxycholic acid		0.0	0.0		
1000010.1	BileAcid	quant	isodeoxycholic acid	164672	0.0	0.0	0.0	0.0
1000010.1	BileAcid	quant	isolithocholic acid	164853	0.0	0.0	0.0	0.0
1000010.1	BileAcid	quant	lithocholic acid	9903	0.0	0.0	0.0	0.0
1000010.1	BileAcid	quant	taurochenodeoxycholic acid	387316	223.09	223.09	0.44644787	446.44787
1000010.1	BileAcid	quant	taurocholic acid	6675	205.49	205.49	0.3984681	398.4681
1000010.1	BileAcid	quant	taurodeoxycholic acid	2733768	0.0	0.0	0.0	0.0
1000010.1	BileAcid	quant	taurolithocholic acid	439763	0.0	0.0	0.0	0.0
1000010.1	BileAcid	quant	tauroursodeoxycholic acid	9848818	0.0	0.0	0.0	0.0
1000010.1	BileAcid	quant	ursodeoxycholic acid	31401	0.0	0.0	0.0	0.0
1000010.1	Tryptophan	quant	5hiaa	1826	2.37	0.4531	0.00237	2.37
1000010.1	Tryptophan	quant	anthranilic acid	227	0.03	0.00411	0.00003	0.03
1000010.1	Tryptophan	quant	indole-3-acetamide	397	0.0	0.0	0.0	0.0
1000010.1	Tryptophan	quant	indole-3-acetate	801	0.65	0.11322	0.00065	0.65
1000010.1	Tryptophan	quant	indole-3-acrylate	5375048	0.0	0.0	0.0	0.0
1000010.1	Tryptophan	quant	indole-3-carboxaldehyde	10256	0.45	0.06532	0.00045	0.45
1000010.1	Tryptophan	quant	indole-3-lactate	92904	0.4	0.08208	0.0004	0.4
1000010.1	Tryptophan	quant	indole-3-propionate	3292996	0.0	0.0	0.0	0.0
1000010.1	Tryptophan	quant	kynurenic acid	3845	0.69	0.13053	0.00069	0.69
1000010.1	Tryptophan	quant	kynurenine	846	0.28	0.0583	0.00028	0.28
1000010.1	Tryptophan	quant	melatonin	896	0.11	0.02555	0.00011	0.11
1000010.1	Tryptophan	quant	niacin	938	0.74	0.0911	0.00074	0.74
1000010.1	Tryptophan	quant	phenylalanine	6140	1844.62	304.71278	1.84462	1844.62
1000010.1	Tryptophan	quant	serotonin	5202	0.06	0.01057	0.00006	0.06
1000010.1	Tryptophan	quant	tryptamine	1150	0.0	0.0	0.0	0.0
1000010.1	Tryptophan	quant	tryptophan	6305	549.67	112.25361	0.54967	549.67
1000010.1	Tryptophan	quant	tyrosine	6057	1379.12	249.88275	1.37912	1379.12
1000010.1	PFBBr	quant	5aminovalerate	138	0.0	0.0	0.0	0.0
1000010.1	PFBBr	quant	acetate	175	0.0	0.0	0.0	0.0
1000010.1	PFBBr	quant	butyrate	104775	0.0	0.0	0.0	0.0
1000010.1	PFBBr	quant	glycine	750	6.18	463.9326	6.18	6180.0
1000010.1	PFBBr	quant	proline	145742	3.32	382.2316	3.32	3320.0
1000010.1	PFBBr	quant	propionate	104745	0.0	0.0	0.0	0.0
1000010.1	PFBBr	quant	succinate	160419	0.0	0.0	0.0	0.0
1000010.1	PFBBr	quant	tyramine	5610	0.0	0.0	0.0	0.0
1000007.1	BileAcid	quant	3-oxolithocholic acid	5283906	0.79	0.79	0.00210892	2.10892
1000007.1	BileAcid	quant	allocholic acid	160636	1.38	1.38	0.00337739	3.37739
1000007.1	BileAcid	quant	alloisolithocholic acid	94228	0.21	0.21	0.00055762	0.55762
1000007.1	BileAcid	quant	alpha-muricholic acid	5283852	0.6	0.6	0.00146843	1.46843
1000007.1	BileAcid	quant	beta-muricholic acid	5283853	0.25	0.25	0.00061185	0.61185
1000007.1	BileAcid	quant	chenodeoxycholic acid	10133	200.06	200.06	0.50957718	509.57718
1000007.1	BileAcid	quant	cholic acid	221493	59.29	59.29	0.14510524	145.10524
1000007.1	BileAcid	quant	deoxycholic acid	222528	1.67	1.67	0.00425369	4.25369
1000007.1	BileAcid	quant	glycochenodeoxycholic acid	12544	4.22	4.22	0.00938612	9.38612
1000007.1	BileAcid	quant	glycocholic acid	10140	0.37	0.37	0.00079467	0.79467
1000007.1	BileAcid	quant	isodeoxycholic acid	164672	0.96	0.96	0.00244524	2.44524
1000007.1	BileAcid	quant	lithocholic acid	9903	0.32	0.32	0.00084971	0.84971
1000007.1	BileAcid	quant	taurochenodeoxycholic acid	387316	20.32	20.32	0.0406644	40.6644
1000007.1	BileAcid	quant	taurocholic acid	6675	1.5	1.5	0.00290867	2.90867
1000007.1	BileAcid	quant	ursocholic acid	122340	2.34	2.34	0.00572687	5.72687
1000007.1	BileAcid	quant	ursodeoxycholic acid	31401	4.63	4.63	0.01179317	11.79317
1000005.1	BileAcid	quant	3-oxolithocholic acid	5283906	0.06	0.06	0.00016017	0.16017
1000005.1	BileAcid	quant	allocholic acid	160636	0.04	0.04	0.0000979	0.0979
1000005.1	BileAcid	quant	alloisolithocholic acid	94228	0.0	0.0	0.0	0.0
1000005.1	BileAcid	quant	alpha-muricholic acid	5283852	0.21	0.21	0.00051395	0.51395
1000005.1	BileAcid	quant	beta-muricholic acid	5283853	0.08	0.08	0.00019579	0.19579
1000005.1	BileAcid	quant	chenodeoxycholic acid	10133	62.2	62.2	0.15843097	158.43097
1000005.1	BileAcid	quant	cholic acid	221493	57.52	57.52	0.14077337	140.77337
1000005.1	BileAcid	quant	deoxycholic acid	222528	0.9	0.9	0.00229241	2.29241
1000005.1	BileAcid	quant	glycochenodeoxycholic acid	12544	0.0	0.0	0.0	0.0
1000005.1	BileAcid	quant	glycocholic acid	10140	0.0	0.0	0.0	0.0
1000005.1	BileAcid	quant	isodeoxycholic acid	164672	0.19	0.19	0.00048395	0.48395
1000005.1	BileAcid	quant	lithocholic acid	9903	30.07	30.07	0.07984599	79.84599
1000005.1	BileAcid	quant	taurochenodeoxycholic acid	387316	0.56	0.56	0.00112067	1.12067
1000005.1	BileAcid	quant	taurocholic acid	6675	0.52	0.52	0.00100834	1.00834
1000005.1	BileAcid	quant	ursocholic acid	122340	0.03	0.03	0.00007342	0.07342
1000005.1	BileAcid	quant	ursodeoxycholic acid	31401	0.26	0.26	0.00066225	0.66225
1000005.2	BileAcid	quant	3-oxolithocholic acid	5283906	0.05	0.05	0.00013348	0.13348
1000005.2	BileAcid	quant	allocholic acid	160636	0.3	0.3	0.00073421	0.73421
1000005.2	BileAcid	quant	alloisolithocholic acid	94228	0.0	0.0	0.0	0.0
1000005.2	BileAcid	quant	alpha-muricholic acid	5283852	0.17	0.17	0.00041605	0.41605
1000005.2	BileAcid	quant	beta-muricholic acid	5283853	0.02	0.02	0.00004895	0.04895
1000005.2	BileAcid	quant	chenodeoxycholic acid	10133	42.18	42.18	0.1074376	107.4376
1000005.2	BileAcid	quant	cholic acid	221493	120.08	120.08	0.29388155	293.88155
1000005.2	BileAcid	quant	deoxycholic acid	222528	0.58	0.58	0.00147733	1.47733
1000005.2	BileAcid	quant	glycochenodeoxycholic acid	12544	0.0	0.0	0.0	0.0
1000005.2	BileAcid	quant	glycocholic acid	10140	0.0	0.0	0.0	0.0
1000005.2	BileAcid	quant	isodeoxycholic acid	164672	0.34	0.34	0.00086602	0.86602
1000005.2	BileAcid	quant	lithocholic acid	9903	14.43	14.43	0.03831652	38.31652
1000005.2	BileAcid	quant	taurochenodeoxycholic acid	387316	0.37	0.37	0.00074044	0.74044
1000005.2	BileAcid	quant	taurocholic acid	6675	0.81	0.81	0.00157068	1.57068
1000005.2	BileAcid	quant	ursocholic acid	122340	0.05	0.05	0.00012237	0.12237
1000005.2	BileAcid	quant	ursodeoxycholic acid	31401	0.1	0.1	0.00025471	0.25471
1000007.2	BileAcid	quant	3-oxolithocholic acid	5283906	0.0	0.0	0.0	0.0
1000007.2	BileAcid	quant	allocholic acid	160636	0.38333	0.38333	0.00093816	0.93816
1000007.2	BileAcid	quant	alloisolithocholic acid	94228	0.0	0.0	0.0	0.0
1000007.2	BileAcid	quant	alpha-muricholic acid	5283852	0.02	0.02	0.00004895	0.04895
1000007.2	BileAcid	quant	beta-muricholic acid	5283853	0.0	0.0	0.0	0.0
1000007.2	BileAcid	quant	chenodeoxycholic acid	10133	28.58333	28.58333	0.07280523	72.80523
1000007.2	BileAcid	quant	cholic acid	221493	10.72667	10.72667	0.02625224	26.25224
1000007.2	BileAcid	quant	deoxycholic acid	222528	0.43	0.43	0.00109526	1.09526
1000007.2	BileAcid	quant	glycochenodeoxycholic acid	12544	0.06667	0.06667	0.00014828	0.14828
1000007.2	BileAcid	quant	glycocholic acid	10140	0.0	0.0	0.0	0.0
1000007.2	BileAcid	quant	isodeoxycholic acid	164672	0.00333	0.00333	0.00000849	0.00849
1000007.2	BileAcid	quant	lithocholic acid	9903	0.01333	0.01333	0.0000354	0.0354
1000007.2	BileAcid	quant	taurochenodeoxycholic acid	387316	0.32	0.32	0.00064038	0.64038
1000007.2	BileAcid	quant	taurocholic acid	6675	0.03667	0.03667	0.0000711	0.0711
1000007.2	BileAcid	quant	ursocholic acid	122340	0.07667	0.07667	0.00018763	0.18763
1000007.2	BileAcid	quant	ursodeoxycholic acid	31401	0.61667	0.61667	0.00157073	1.57073
1000004.1	BileAcid	quant	3-oxolithocholic acid	5283906	0.0	0.0	0.0	0.0
1000004.1	BileAcid	quant	allocholic acid	160636	0.00333	0.00333	0.00000816	0.00816
1000004.1	BileAcid	quant	alloisolithocholic acid	94228	0.0	0.0	0.0	0.0
1000004.1	BileAcid	quant	alpha-muricholic acid	5283852	0.0	0.0	0.0	0.0
1000004.1	BileAcid	quant	beta-muricholic acid	5283853	0.0	0.0	0.0	0.0
1000004.1	BileAcid	quant	chenodeoxycholic acid	10133	1.05333	1.05333	0.00268297	2.68297
1000004.1	BileAcid	quant	cholic acid	221493	0.55667	0.55667	0.00136238	1.36238
1000004.1	BileAcid	quant	deoxycholic acid	222528	0.0	0.0	0.0	0.0
1000004.1	BileAcid	quant	glycochenodeoxycholic acid	12544	12.80667	12.80667	0.02848458	28.48458
1000004.1	BileAcid	quant	glycocholic acid	10140	3.55333	3.55333	0.00763173	7.63173
1000004.1	BileAcid	quant	isodeoxycholic acid	164672	0.0	0.0	0.0	0.0
1000004.1	BileAcid	quant	lithocholic acid	9903	0.0	0.0	0.0	0.0
1000004.1	BileAcid	quant	taurochenodeoxycholic acid	387316	13.74	13.74	0.0274965	27.4965
1000004.1	BileAcid	quant	taurocholic acid	6675	3.17667	3.17667	0.00615991	6.15991
1000004.1	BileAcid	quant	ursocholic acid	122340	0.00667	0.00667	0.00001632	0.01632
1000004.1	BileAcid	quant	ursodeoxycholic acid	31401	0.11667	0.11667	0.00029716	0.29716
1000003.1	BileAcid	quant	3-oxolithocholic acid	5283906	10.165	10.165	0.02713561	27.13561
1000003.1	BileAcid	quant	allocholic acid	160636	0.52	0.52	0.00127264	1.27264
1000003.1	BileAcid	quant	alloisolithocholic acid	94228	0.91	0.91	0.00241636	2.41636
1000003.1	BileAcid	quant	alpha-muricholic acid	5283852	0.16	0.16	0.00039158	0.39158
1000003.1	BileAcid	quant	beta-muricholic acid	5283853	0.8	0.8	0.00195791	1.95791
1000003.1	BileAcid	quant	chenodeoxycholic acid	10133	4.435	4.435	0.01129648	11.29648
1000003.1	BileAcid	quant	cholic acid	221493	1.47	1.47	0.00359765	3.59765
1000003.1	BileAcid	quant	deoxycholic acid	222528	186.995	186.995	0.47629903	476.29903
1000003.1	BileAcid	quant	glycochenodeoxycholic acid	12544	0.25	0.25	0.00055605	0.55605
1000003.1	BileAcid	quant	glycocholic acid	10140	0.16	0.16	0.00034364	0.34364
1000003.1	BileAcid	quant	isodeoxycholic acid	164672	11.57	11.57	0.0294702	29.4702
1000003.1	BileAcid	quant	lithocholic acid	9903	200.93	200.93	0.53353691	533.53691
1000003.1	BileAcid	quant	taurochenodeoxycholic acid	387316	0.14	0.14	0.00028017	0.28017
1000003.1	BileAcid	quant	taurocholic acid	6675	0.0	0.0	0.0	0.0
1000003.1	BileAcid	quant	ursocholic acid	122340	8.34	8.34	0.02041116	20.41116
1000003.1	BileAcid	quant	ursodeoxycholic acid	31401	7.825	7.825	0.01993123	19.93123
1000002.1	BileAcid	quant	cholic acid	221493	0.593	0.593	0.0014513	1.4513
1000002.1	BileAcid	quant	deoxycholic acid	222528	189.219	189.219	0.48196383	481.96383
1000002.1	BileAcid	quant	lithocholic acid	9903	164.032	164.032	0.43556028	435.56028
1000002.1	BileAcid	quant	glycocholic acid	10140	0.0	0.0	0.0	0.0
1000002.1	BileAcid	quant	taurocholic acid	6675	0.0	0.0	0.0	0.0
1000002.1	BileAcid	quant	isodeoxycholic acid	164672	14.994	14.994	0.03819154	38.19154
1000002.1	BileAcid	quant	alloisolithocholic acid	94228	13.671	13.671	0.03630112	36.30112
1000002.1	BileAcid	quant	3-oxolithocholic acid	5283906	60.658	60.658	0.16192739	161.92739
1000002.2	BileAcid	quant	cholic acid	221493	0.756	0.756	0.00185022	1.85022
1000002.2	BileAcid	quant	deoxycholic acid	222528	274.8	274.8	0.69994906	699.94906
1000002.2	BileAcid	quant	lithocholic acid	9903	178.586	178.586	0.47420605	474.20605
1000002.2	BileAcid	quant	glycocholic acid	10140	0.547	0.547	0.00117483	1.17483
1000002.2	BileAcid	quant	taurocholic acid	6675	0.061	0.061	0.00011829	0.11829
1000002.2	BileAcid	quant	isodeoxycholic acid	164672	31.039	31.039	0.07906011	79.06011
1000002.2	BileAcid	quant	alloisolithocholic acid	94228	14.18	14.18	0.03765268	37.65268
1000002.2	BileAcid	quant	3-oxolithocholic acid	5283906	30.255	30.255	0.08076615	80.76615
1000001.1	BileAcid	quant	3-oxolithocholic acid	5283906	0.214	0.214	0.00057128	0.57128
1000001.1	BileAcid	quant	alloisolithocholic acid	94228	0.0	0.0	0.0	0.0
1000001.1	BileAcid	quant	cholic acid	221493	227.767	227.767	0.5574327	557.4327
1000001.1	BileAcid	quant	deoxycholic acid	222528	5.951	5.951	0.01515792	15.15792
1000001.1	BileAcid	quant	glycocholic acid	10140	1.617	1.617	0.00347294	3.47294
1000001.1	BileAcid	quant	isodeoxycholic acid	164672	0.0	0.0	0.0	0.0
1000001.1	BileAcid	quant	lithocholic acid	9903	0.0	0.0	0.0	0.0
1000001.1	BileAcid	quant	taurocholic acid	6675	8.797	8.797	0.01705837	17.05837
1000007.1	PFBBr	quant	5aminovalerate	138	8.3	972.345	8.3	8300.0
1000007.1	PFBBr	quant	acetate	175	43.69	2579.4576	43.69	43690.0
1000007.1	PFBBr	quant	butyrate	104775	4.25	370.175	4.25	4250.0
1000007.1	PFBBr	quant	glycine	750	11.04	828.7728	11.04	11040.0
1000007.1	PFBBr	quant	proline	145742	0.61	70.2293	0.61	610.0
1000007.1	PFBBr	quant	propionate	104745	11.99	876.1093	11.99	11990.0
1000007.1	PFBBr	quant	succinate	160419	0.0	0.0	0.0	0.0
1000007.1	PFBBr	quant	tyramine	5610	1.56	214.0008	1.56	1560.0
1000005.1	PFBBr	quant	5aminovalerate	138	2.84	332.706	2.84	2840.0
1000005.1	PFBBr	quant	acetate	175	11.72	691.9488	11.72	11720.0
1000005.1	PFBBr	quant	butyrate	104775	3.64	317.044	3.64	3640.0
1000005.1	PFBBr	quant	glycine	750	0.28	21.0196	0.28	280.0
1000005.1	PFBBr	quant	proline	145742	0.44	50.6572	0.44	440.0
